NAME COUNT
p-gluveka 1037
s-psa-v 1036
l-bas% 1034
du-prot 1033
s-shbg 1031
s-asat 1019
p-lakveka 1013
s-pölyer 1009
l-promyel 1007
s-van 1004
cb-ca-i7.4 988
b-rethe 986
p-at3 984
s-t3-v 982
s-hcg-b-v 981
p-hcg 962
0mgluk 950
s-b12-akt 950
s-lh 946
-trfesat 942
pf-prot 931
vb-temp 930
p-ca12-5 928
b-pvk+tkd,trom 923
s-psa-v/t 915
s-afp 913
p-crp-hy 911
s-klotsa 911
b-pvk+tkd,hb 910
p-prealb 908
b-pvk+tkd,mcv 904
p-crphoi 904
l-sauva 899
sy-leuk 894
b-pvk+tkd,hkr 891
b-pvk+tkd,mchc 887
l-myelos 882
e-erytrosyytit,keskitilavuus 880
l-liuska 876
b-pvk+tkd,eryt 874
vb-laktaat 865
b-pvk+tkd,mch 858
p-fviii. 857
s-krea 855
neut# 854
vb-gluk 850
l-myel 849
b-pvk+tkd,rdw 845
-baso% 841
lymph% 841
eos% 840
s-alb 840
cbhco3pika 838
u-lierla 836
-neut% 833
mono% 829
baso% 828
s-gamma 828
b-crp-vt 827
l-neutrof 823
inr-vieri 821
s-mkomp-1 821
b-eosabs 816
pf-leuk 814
hct 809
-lymph% 808
eos# 808
mono# 808
s-alfa-2 807
pt-gfreep 806
u-epitla 806
lymph# 805
b-cya-ms 803
e-rdw* 799
s-beta-1 793
u-erytla 793
baso# 792
hgb 782
pf-gluk 781
s-haptog 780
p-ca19-9 779
fp-kolhdl 777
s-beta-2 777
-eos% 776
p-rf 776
plt 773
-mono% 772
s-alfa-1 770
u-prot-o 766
psa-v/psa 765
s-lzm 765
p-etoh 758
u-leukla 757
p-krea. 753
b-cya 751
vb-o2sat 740
s-mkomp-2 736
s-psa-suh 727
p-haptog 722
p-pbnp-lb 722
l-meta 716
p-c3 716
u-ph-huu 716
p-prl 713
s-tpoab 711
p-na. 708
b-mxd 707
vb-hbo2 707
b-retind 702
p-k. 702
s-c3 702
s-ca15-3 699
s-album 694
b-leukosyytit 691
s-c4 690
p-c4 688
prom 679
s-mkomp-3 675
b-erytrosyytit,tilavuusosuus 671
lymph 667
vb-hco3 667
p-fsh 666
mxd 663
u-tutk-1,ph 659
p-inr-vt 656
u-ominp-h 656
pf-eryt 655
b-ly% 649
b-monos% 645
cb-laktaat 645
l-prom 644
p-crp-vt 642
b-neutr 641
myel 639
b-pvk+t 638
l-blastit 638
s-ana 633
s-mkomp-4 633
ly% 631
pt-gfrekys 631
mxd% 629
pf-ld 629
na-pika 626
laktpika 625
e-rethe 624
s-dmklots 621
cb-hb 606
b-leukp 605
cp-gluk 601
lymängd 601
l-metamye 599
s-ca 596
l-bla 592
s-mypnabg 590
k-pika 587
e-punasolujenkokojakauma 582
non-hdl 569
sy-eryt 568
oma-crp 567
b-erytp 566
b-thb 566
b-bas% 564
krea-pika 560
p-bil-lap 560
b-pvk+tkd,leuk 556
trombosyytit/pvk 553
b-tacro 552
basof 551
cb-to2c 551
2hgluk 547
-ph 546
s-caio7.4 544
b-crpp 543
cb-tt-inrpika 543
b-erytrosyyttientilavuusosuus 540
fp-pthint 540
li-laktaat 538
punasolujenkokojakauma 533
cb-o2hb 532
s-caionac 532
u-na 530
s-bil 528
pf-ph 527
neutro 524
p-glu/0 522
muut 521
li-alb 520
eosin 519
li-igg 519
b-neu 514
p-gluk-o 514
s-testovl 514
lymfo 513
b-erblas 504
p-fidd-o 501
b-hbp 500
ua-pco2 497
cb-o2-sis 496
lymfos 494
s-igf1 493
b-lymfosy 492
e-erytbla 492
neutros 489
b-ly/abs 487
p-krea+gfr,p-krea 484
p-ca15-3 478
p-alat. 476
b-crp-o 466
p-urea-de 465
ab-po2(t) 464
b-mo/abs 464
du-ca 463
p-lh 463
ab-ph(t) 457
cu-alb-mi 457
u-osmol 457
b-ba/abs 456
-nt 454
s-dpteroe 451
b-tacroms 448
vbpco2pika 447
ab-pco2(t) 446
fp-ca-ion 446
fp-tffesat 445
vb-phpika 444
s-timotee 443
b-neu/abs 438
s-t4v 435
fp-ph 434
l-mxd# 432
l-blast 431
ap-lakt 429
meta 426
ua-po2 426
s-koivue 425
s-nse 421
s-ck 412
fp-alat 411
p-gluk-po 410
pika-crp 410
fb-leukosyytit 409
l-neut# 409
s-dnanab 406
l-mxd% 405
p-inrpika 404
s-ebvabg 402
pt-gfre-3 400
fs-c-pept 399
b-inr-pik 398
s-hcg 398
vb-o2-vol% 397
l-ly# 395
-l-ind 394
ua-ph 394
e-erytrosyyttienkeskitilavuus 387
p-ph 386
s-he4 385
vb-lämpöti 385
s-kol 384
cbhbo2satp 383
l-neut-m 382
-i-ind 379
li-igg-ind 377
p-krea+gfr,pt-gfre 377
s-cdt% 377
nlt 376
b-nrbc 375
cbpo2pika 374
l-neutr% 374
s-b2miglo 370
cp-ca-ion 367
cp-na 367
cp-k 366
blasti 365
s-pujoe 365
l-neutrofiilit 364
rdw 364
ua-hco3-st 362
b-hba1cvt 361
crpvieri 361
b-leuk* 360
s-e2 359
virtsam. 359
p-ige 358
s-allige 358
e–rdw 355
l-gran 355
l-eos-m 353
cb-hb-hy 351
cb-gluk 349
pika-inr 349
pt-gfre-cg 349
ntkmom 348
u-tutk-1,sg 346
ab-lämpöti 344
cb-phpika 344
cbpco2pika 344
hcgbvkmom 344
s-kol-hdl 344
b-neu% 342
cp-laktaat 342
b-lym% 338
s-gt-cdt 338
l-monos-m 337
cb-chb 336
pappakmom 336
l-baso-m 334
l-lymfosyytit 328
s-karba 328
p-acth 327
s-borrabm 327
s-insu 322
b-lym 321
b-lymfos 320
p-crp/pik 320
s-antitry 320
p-glu/2h 319
b-basof 318
b-hb-vt 317
s-amyl 317
p-fidd-lb 313
s-chpnabg 313
l-lymf-m 312
s-epo 312
s-cladhee 311
ottotapa 308
s-cmvabg 308
ab-t 307
s-sappih 306
ap-ca-ion 305
s-igg4 305
glomerulussuodosnopeus,estimoitu(pt-gfre) 303
s-osmol 302
p-tffesat 300
s-koirhie 300
triglyseridit(trigly)/lipidit 300
f-elast1 298
fs-ca-7.40 298
kolesteroli,highdensitylipoproteiinit/lipidit 297
fs-rf 295
ap-gluk 293
s-amh 293
s-kysc 293
s-kissae 292
fp-kolesteroli,highdensitylipoproteiinit 291
vb-bepika 291
kolesteroli,lowdensitylipoproteiinit(ldl)/lipidit 290
cp-shco3 289
s-tshrab 289
fs-gh 287
fp-folaat 286
b-temp 283
s-kisshie 283
b-trom* 282
kolesteroli/lipidit 282
p-sldl 282
pf-ada 282
s-norklot 282
s-ada 281
s-sldl 281
b-pvk 278
s-koirae 278
b-lymfo 273
ab-chb 271
s-dheas 271
crp,tk 270
l-mid 270
s-maapähe 270
zb-hbo2sat 270
vb-ca-ion 268
crp 267
s-ca-akt 267
s-dgpaba 267
fs-ca-iona 266
p-tnt-vt 266
u-ph-hy 266
s-mtx 264
cb-tt-inrp 263
fb-folaat 262
cb-bil-mi 261
b-peth 260
u-levyepi 258
zb-o2-vol% 258
p-urea-dj 256
ab-laktaat 255
fs-kolesteroli 255
fs-pth 255
pika-gluk 254
b-cd8 253
s-hbsab 252
l-liusk 250
l-metamyel 249
l-muut 249
l-nlt 249
p-reninm 249
napika 248
l-sauv 247
b-cd3 246
b-pikacrp 246
b-muut 245
fs-triglyseridit 245
gt-cdt-ind 245
s-normet 245
u-k 245
zb-pco2 245
zb-ph 245
pf-eos 244
s-ohkarba 244
u-alb/kre 244
bla 243
cp-inr-vt 243
glukpika 243
s-ruok5er 243
s-hevonee 242
b-cd19 241
zb-ahco3 241
s-tygl 240
fp-cga 239
p-cmvnh 239
p-fv 239
s-ca-iona*** 239
fs-kolesteroli,highdensitylipoproteiinit 238
l-sauvat 238
s-crp-o 238
e-rdw,osatutkimus(e-rdw) 237
p-crp/pika 236
cb-bepika 235
oma-p-crp 235
p-crppika 235
b-nk 234
s-enaab 233
s-munavae 233
zb-po2 233
b-crp-poc 232
cu-alb 232
s-maitoe 232
vb-ca-i7.4 231
fs-kolesteroli,lowdensitylipoproteiinit 230
nu-albkrea 230
u-suht-hy 230
pt-gluk-2h 229
b-erybla,osatutkimus(b-erybla) 228
s-caph7.4 227
b-cd4 226
cp-hco3st 226
pt-gfr-arv 226
b-t-cd4 223
glukr0-n 222
l-nst 222
hbpika 219
metam 219
u-rakkoai 219
kpika 218
b-lap 217
kreapika 215
nst 214
p-pc 214
p-tpoab 214
b-hba1cp 212
s-kerulo 212
sy-neut 212
sy-solut 212
s-hepyabg 211
s-hevohie 211
b-tbifng 210
p-na-vt 210
pf-neut 210
s-ca-albk 209
s-papp-a 207
s-vzvabg 207
p-crp. 206
s-pct 205
ua-hb 205
kolesteroli,highdensitylipoprotein,plasmasta,paastotilassa(fp-kol-hdl) 204
p-hcg-tot 204
s-ast 204
kolesteroli,plasmasta,paastotilassa(fp-kol) 203
du-tilav 202
s-mypnabm 202
-liik.np 200
u-ca 200
p-gluk-vt 198
u-amyl 198
b-trombos 197
p-krea-vt 197
s-hs-crp 197
-liik.pr 196
s-igg2 196
pf-mononuk 195
fs-sappih 194
p-inr-pi 194
1hgluk 192
b-erybla* 192
s-ruokaer 191
s-igg1 190
ab-gluk 189
b-tnt-o 189
cu-vm 189
fp-ca-iona 189
l-metam 189
b-ghba1c 188
hoi-crp-pi 188
s-ecp 188
s-hepyaba 187
p-k-vt 186
e-rdw** 185
ab-cl 184
cp-inr-hy 183
s-metnef 183
fp-afos 182
ab-ca++7.4 181
cb-tt-inr 181
p-hb 181
-liik.im 180
oma-gluk 180
inr,tk 178
p-bil-l 178
p-inr-hy 178
triglyseridit,plasmasta,paastotilassa(fp-trigly) 178
p-gluk-0h 177
s-5hiaa 177
vieri-inr 177
ab-na 176
uv-pco2 175
as-leuk 174
b-hb-met. 174
b-hkr.fol 174
p-tt. 174
s-d-1,25 173
oma-hb 172
fs-lipob 171
fp-glukoosi 170
s-bil-kj 170
fp-gt 168
s-igg3 168
fp-triglyseridit 167
p-hcyst 167
b-hb-co. 165
transf-sat 165
e-hemoglobiini(massakonsentraatio) 164
glukr2h 164
p-tyreotropiini 164
pf-solut 163
s-borrabg 163
s-mg-ion 163
b-crp-pika 162
cu-kesto 162
p-ps-agv 162
pt-gluk-0 162
pt-gluk-0h 162
cu-tilav 161
u-gluk-0 161
oma-inr 160
p.-trombai 160
pt-iho-r1 160
s-timospe 160
b-ghba1c% 159
e-hemoglobiini(massa) 159
pt-gluk-1h 159
s-dgpabg 159
s-osacdt 159
p-crp-hy* 158
kreatiniini(p-krea) 157
s-aldos 157
fs-ca 156
oma-p-gluk 156
ab-ca++ 155
s-turskae 155
cp-gluk-po 154
neutrofiilit 154
cb-bil 153
pikahb 153
fs-lipoa1 152
cb-inrc-c 151
e-erytrosyytit,tilavuus 151
ab-hkr 150
e-erytrosyytit,kokojakauma 150
s-mg 150
u-alb/krea 150
ab-lämpö 149
b-crp 149
l-myel-m 149
u-ph-0 149
b-neutrofiilit 148
sy-sameus 148
zb-be 148
ab-k 147
b-kreases 147
ly-cd3 147
s-osacdtr 147
cb-na 146
hbvieri 146
p-at3. 146
p-inr-pika 145
sy-ly+mono 145
cb-k 144
p-tyroksiini,vapaa 144
fs-a-vit 143
s-ace 143
b-fidd 142
b-lymfosyytit 142
s-koivspe 142
b-co 141
pt-kt/v 141
s-tshrefl 141
p-kardabg 140
s-tymidk 140
uv-ph 140
p-glu/1h 139
ureapika 139
ly-nk 138
p-hiv1nh 138
s-fenyt 138
b-cr 137
b-tt-inrv 137
fp-kolesteroli 137
ly-cd4-t 137
fs-cga 135
s-aldol 135
pf-liuskat 134
s-alaniiniaminotransferaasi 134
fs-e-vit 133
b-hba1c* 132
cp-ohbutlb 132
ly-cd4 132
p-gluk-2h 132
u-prokre 132
ca-ionpika 131
ly-cd4/cd8 131
s-psav/t 131
u-kemseul,ph 131
erytroblastit 130
ly-cd8 130
s-ca-17.4 130
sy-eos 130
ly-cd16/56 129
p-tnih 129
ap-hco3st 128
b-inrvieri 128
cb-o2sat 128
fb-b1-vit 128
l-meta-m 128
p-luakrvv 128
s-vehnjae 128
triglyseriditplasmasta,paastotila 128
hemoglobiini-a1c,glykoitunut(b-hba1c) 127
kreatiniini(krea) 127
p-crp-oma 127
p-il2r 127
s-hcgbv 126
du-na 125
albumiini 124
b-t-cd8 124
cu-aika(s) 124
monosyytit 124
p-hstni 124
s-prog 124
fp-kolesteroli,lowdensitylipoproteiinit 123
ly-t-cd3 123
pf-sameus 123
as-eryt 122
c-reaktiivinenproteiini-pika(crp-pika) 122
lymfosyytit 122
s-tsh-abr 122
p-gluk120 121
fs-lipidit 120
virtsamäärä 119
p-ca-ion: 118
b-gluk 117
b-leuk-vt 117
l-monosyytit 117
ly-cd19 117
s-hcrp 117
b-cd16/56 116
hb-pika 116
l-blast-m 116
p-fviii 116
p-vwf-akt 116
s-ige-sse 116
u-ph-o* 116
pf-ly+mono 115
fp-trigl 114
s-rnpab 114
s-vehnäe 114
cb-crp(qr) 113
inr-pika 113
konediffi,neut 113
s-pujospe 113
b-ntprobnp 112
p-alaniiniaminotransferaasi 112
s-chpnaba 112
s-rarah2e 112
fp-crp 111
p-gluk: 111
pf-kol 111
pika-hb 111
s-igg/li 111
ub-pco2 111
b-b-cd19 110
fp-reninm 110
li-leuk-3 110
s-adioni 110
s-apob/a1 110
s-vlseabm 110
alfa2-glob 109
p-fidd-vt 109
s-etoh 109
ub-ph 109
p-k: 108
p-luakptt 108
p-zn 108
pt-paino 108
60mgluk 107
alfa1-glob 107
as-alb 107
b-hemoglobiini-a1c 107
cb-ca++7.4 107
uv-po2 107
l-eos%-m 106
ub-hbo2s 106
b-hb/pika 105
b-t-cd3 105
cp-crp-lb 105
konediffi,lym 105
p-bilneon 105
sy-mononuk 105
u-sg 105
u-veri-o 105
cd4 104
s-paras 104
erytrosyytit 103
p-einr 102
p-na: 102
pf-laktteh 102
beta1-glob 101
glukbel-vp 101
l-metmye 101
p-glukr2h 101
s-a1glob 101
p-shbg 100
pf-amyl 100
ub-po2 100
cd4/cd8 99
fs-kreatiniini 99
l-prom%-m 99
li-eryt-3 99
p-ps 99
sy-gran 99
ua-be 99
ab-o2-sis 98
b-crp-v 98
b-gluk/pi 98
b-hb* 98
beta2-glob 98
e-erytrosyytiit,kokojakaumaprosentti 98
e-mcv* 98
konediffi,mono 98
konediffi,neuttot 98
leukosyytit 98
s-soijape 98
b-hhb 97
l-blas%-m 97
p-tnt-lb 97
s-c-pept 97
snabb-inr 97
u-epitel 97
b-eryt* 96
p-caio7.4: 96
p-cl: 96
p-crp-hoi 96
s-trypt 96
sy-prot 96
b-probnp 95
konediffi,baso 95
p-c-pept 95
s-alb/li 95
sy-ly 95
erytrosyytit,keskitilavuus 94
hemoglobiini 94
l-meta%-m 94
p-fe 94
du-k 93
ua-hbo2sat 93
e-mch* 92
l-myel%-m 92
p-kpika 92
u-ph. 92
crppika 91
konediffi,eos 91
ly-t-cd4 91
p-inr-avh 91
s-lamotri 91
b-erytbl 90
b-hkr* 90
l-baso%-m 90
p-b2gpabg 90
p-gluk-1h 90
p-kreapik 90
p-na-ses 90
s-a2glob 90
s-c-pep-a 90
s-gglobul 90
e-mchcp 89
hemoglobiini,keskimassa 89
p-k-ses 89
p-t4-v* 89
pituus 89
b-basofiilisetleukosyytit 88
b-hb: 88
b-hba1c-p 88
du-vm 88
fp-c-pept 88
fp-gluk0 88
s-b1glob 88
s-hasspäe 88
s-ige2pöl 88
b-hba1cpi 87
bmind 87
gamma-glob 87
l-mono%-m 87
l-neut%-m 87
ly-t-cd8 87
p-aspartaattiaminotransferaasi 87
punasolujenkokojakautuma 87
s-ige2ruo 87
s-pöly-s 87
s-tob 87
e-mcvp 86
l-lymf%-m 86
p-napika 86
s-emaba 86
s-ovomuke 86
b-gran 85
b-konedif,neut% 85
p-bilmikro 85
p-vwf-ag 85
s-infli 85
s-ucrp 85
cp-crp 84
l-eosinofiilit 84
li-bam42 84
p-apcres. 84
painonmitt 84
s-17hprog 84
s-chpnabm 84
s-ranao3e 84
s-testo-v 84
triglyseridit 84
b-konedif,lymph% 83
b-monosyytit 83
b-tromp  83
erytrosyytit,tilavuusosuus 83
fp-glukos 83
p-glu/30m 83
p-tnt-o 83
pikagluk 83
s-cora14e 83
s-siliab 83
ua-shco3 83
b-qr-crp 82
gluk-pika 82
kolesteroli,lowdensitylipoproteiinit 82
u-kemseul 82
-amyl 81
inrpika 81
p-gfr-kre 81
s-b2glob 81
s-smab 81
b-konedif,mxd% 80
kolesteroli 80
s-beta1 80
-crp-pika 79
b-ohbutvt 79
hoicrp 79
pf-gran 79
u-suhti. 79
ihopisto 78
li-igg/alb 78
p-kreatiniini 78
p-ohbutyr 78
s-beta2 78
s-c1inh 78
s-t4-vdi 78
-siitt. 77
#lym 77
120mgluk 77
b-hkrp 77
li-fostau 77
pt-kt/v1 77
s-aspfume 77
s-gadab 77
trombosyytit 77
fp-insu 76
l-mono+muu 76
li-ace 76
s-olants 76
tyroksiini,vapaa(t4v) 76
b-mcv 75
cp-glukpot 75
fs-pi 75
p-fvii 75
p-supar 75
pulssi 75
s-alfa1 75
s-desialotransferriini 75
s-soijae 75
%mon 74
kreatiniini 74
li-tau 74
s-alfa2 74
s-rjugr1e 74
uv-hbo2sat 74
b-hba1c,tk 73
b-lt 73
e-mchp 73
p-crp-p 73
p-crpos 73
#gra 72
du-normet 72
du-prot. 72
erytrosyytit(kval) 72
gluk0 72
kol/hdl-su 72
s-cora9e 72
s-pinp 72
-tilav. 71
#mon 71
p-glutamyylitransferaasi 71
pf-alb 71
b-eos* 70
b-hbhoi 70
b-konedif,neuttot 70
kolesteroli,highdensitylipoproteiinit 70
l-prom-m 70
s-tyreotropiini 70
glukvieri 69
p-fiddpik 69
pf-ly 69
pt-glukr-0 69
s-pr3ab 69
%lym 68
b-mon 68
s-caspähe 68
s-pemfiab 68
s-ssaab 68
sa-korsol 68
u-ni 68
ab-o2hb 67
b-hba1c% 67
du-kors-v 67
fe-folaatt 67
glukoosi(kval) 67
inrvieri 67
mononuk 67
p-crp-poc 67
p-gluk-a2 67
p-krea+gfr,pt-gfre-md 67
s-sakspäe 67
p-ckmbm 66
polynuk 66
pt-ekg-12 66
s-ruoka-s 66
-pr+np 65
fp-glukr0h 65
s-prlrec 65
ab-to2c 64
b-monos* 64
crp-vieri 64
gluk1h 64
l-basofiilit 64
l-erblast 64
leukosyytit(kval) 64
leukpika 64
pika-crp-o 64
pt-gfreepi* 64
u-pi 64
-crppika 63
0hkors 63
album 63
b-tni-vt 63
du-metnef 63
fp-trfe-sa 63
kolesteroli,lowdensitylipoproteiniit,plasmasta 63
kreatiniini,virtsasta(huumeseulonnanyhteydessä) 63
l-monos* 63
ly-b-cd19 63
p-gluk60 63
pt-fib-4 63
s-c-reaktiivinenproteiini 63
s-d-25-32 63
s-kalium 63
uv-shco3 63
%gra 62
nitriitti(kval) 62
s-afmakro 62
s-bopeabg 62
s-vlseabg 62
sy-leukmuu 62
triglyseridit,plasmasta 62
-pes.til 61
b-ghb-a1c,tk 61
b-tnt 61
pf-trigly 61
s-prlbio 61
b-lasko 60
c6-indeksi 60
li-/s-alb 60
ly-t-cd4/8 60
p-angap 60
p-gluk0 60
p-he4 60
s-d3-25 60
s-ssbab 60
u-alb-lb 60
u-leukbv 60
u-suhtiv 60
aika/ed.virt 59
cp-inr-lb 59
crp-p 59
p-c-pepta 59
p-fsl 59
p-gluk,tk 59
p-glukpik 59
s-piiinp 59
b-fidd-o 58
c-reaktiivinenproteiini,pika,tehdäänitse 58
p-psasäde 58
s-natrium 58
u-intp 58
b-crp-0 57
b-eosinofiilit 57
leuk-pika 57
p-alkalinenfosfataasi 57
pf-c3 57
pf-c4 57
prealb 57
s-glutamyylitransferaasi 57
s-rbere1e 57
tyreotropiini(tsh) 57
as-prot 56
di-krea 56
ly-cd19-b 56
p-preurea 56
eosinofiilit 55
fp-aldos 55
kolesteroliplasmasta 55
p-ebvnh 55
pt-glomerulussuodosnopeus,estimoitu,ckd-epi-kaava 55
s-adalimu 55
b-rdw 54
cp-glucos 54
du-krea 54
l-promye% 54
pt-apri 54
s-kalsium 54
s-p-anca 54
u-kemseula,u-suhtih 54
u-krealb 54
fs-b12-vit 53
l-myel% 53
p-natrium 53
s-afmaksa 53
s-parapäe 53
s-uraatti 53
u-baktbv 53
di-gluk 52
fb-b6-vit 52
glukr1h 52
hoiinr 52
ly-tt-cd8 52
p-tni. 52
pikau-stix,u-ph 52
s-afluust 52
s-ch100al 52
as-solut 51
p-fix 51
p-inrhoit 51
s-ch100cl 51
triglyseridit(trigly)/lipiditosatutkimus 51
alaniiniaminotransferaasi 50
b-vakuly 50
beeta-2 50
iga/prealb 50
s-hsv1abg 50
angap 49
