ABBREVIATION	COUNT_NOT_MISSING	PERCENTAGE_NOT_MISSING	COUNT_MISSING	PERCENTAGE_MISSING	COUNT_TOTAL
p-afos	6692309	0.8636%	87173	0.01125%	6779482
p-psa	863128	0.1114%	85435	0.01103%	948563
u-baktseu	8444	0.0011%	85084	0.01098%	93528
p-cmvnh	27275	0.0035%	82841	0.01069%	110116
infbnho	978	0.0001%	82075	0.01059%	83053
s-borrabm	44540	0.0057%	81959	0.01058%	126499
-tbvi	1349	0.0002%	81183	0.01048%	82532
u-syto	10942	0.0014%	81045	0.01046%	91987
ts-pad-4	15442	0.0020%	80665	0.01041%	96107
p-rf	44705	0.0058%	80271	0.01036%	124976
b-monos	3073307	0.3966%	80191	0.01035%	3153498
b-monos	4858	0.0006%	80191	0.01035%	85049
pt-fvspiro	3740	0.0005%	79331	0.01024%	83071
b-diffi-kd	897	0.0001%	79229	0.01022%	80126
b-ly	2776535	0.3583%	78498	0.01013%	2855033
b-ly	1571	0.0002%	78498	0.01013%	80069
s-mypnab	9869	0.0013%	78301	0.01010%	88170
-baktvr	3136	0.0004%	77482	0.01000%	80618
fe-folaat	404708	0.0522%	77054	0.00994%	481762
p-fidd	367703	0.0475%	76660	0.00989%	444363
s-tr1seul	2573	0.0003%	74467	0.00961%	77040
-infabag	1475	0.0002%	73990	0.00955%	75465
p-crphoi	98243	0.0127%	73170	0.00944%	171413
fl-strbvi	3809	0.0005%	72752	0.00939%	76561
-infbag	114	0.0000%	72740	0.00939%	72854
b-hba1c	4784590	0.6175%	72445	0.00935%	4857035
-infaag	426	0.0001%	72404	0.00934%	72830
s-dgpabg	20301	0.0026%	72286	0.00933%	92587
b-bio-0	7447	0.0010%	72132	0.00931%	79579
ab-ph	962279	0.1242%	71408	0.00922%	1033687
cb-tt-inrp	19776	0.0026%	70753	0.00913%	90529
b-eos	3474588	0.4484%	70422	0.00909%	3545010
u-prot	80350	0.0104%	69380	0.00895%	149730
u-hcg-o	11640	0.0015%	67454	0.00870%	79094
fp-kol-ldl	4819687	0.6220%	66808	0.00862%	4886495
s-hcg	42205	0.0054%	66449	0.00858%	108654
sk-padihot	3465	0.0004%	65598	0.00847%	69063
p-crp-hy	82674	0.0107%	65403	0.00844%	148077
s-äitseul	11774	0.0015%	65313	0.00843%	77087
p-tsh	4295934	0.5544%	64316	0.00830%	4360250
rsvnho	1041	0.0001%	63928	0.00825%	64969
-adennho	1784	0.0002%	63902	0.00825%	65686
s-keliseu	17723	0.0023%	63839	0.00824%	81562
u-tutk-1	4853	0.0006%	63643	0.00821%	68496
-ncovnho	2310	0.0003%	63508	0.00820%	65818
b-k	331214	0.0427%	63125	0.00815%	394339
s-rf	85619	0.0110%	63014	0.00813%	148633
pt-gluk-r6	311	0.0000%	62777	0.00810%	63088
s-monab-o	7590	0.0010%	62639	0.00808%	70229
b-tnt-o	16535	0.0021%	61431	0.00793%	77966
b-la	4249395	0.5484%	61266	0.00791%	4310661
ab-hb	582368	0.0752%	61074	0.00788%	643442
p-alb	2369055	0.3057%	60796	0.00785%	2429851
fs-ph	146537	0.0189%	60788	0.00784%	207325
ly-hlab27	11028	0.0014%	60506	0.00781%	71534
p-tnt-vt	14202	0.0018%	60150	0.00776%	74352
s-pr3ab	17208	0.0022%	59999	0.00774%	77207
ab-vekaas	108	0.0000%	59962	0.00774%	60070
u-baktjvi.	8099	0.0010%	59423	0.00767%	67522
s-mypnabm	28563	0.0037%	58638	0.00757%	87201
s-keliab	239	0.0000%	58347	0.00753%	58586
l-metmye	5111	0.0007%	58252	0.00752%	63363
b-erybla	2587593	0.3339%	57233	0.00739%	2644826
b-baktjvi	13351	0.0017%	56909	0.00734%	70260
b-hb-met	236001	0.0305%	56822	0.00733%	292823
s-enaab	12861	0.0017%	56615	0.00731%	69476
u-eryt	1573157	0.2030%	56299	0.00727%	1629456
f-noronho	4953	0.0006%	56055	0.00723%	61008
ab-ca-ion	212980	0.0275%	55967	0.00722%	268947
b-angap	206431	0.0266%	55824	0.00720%	262255
u-baktevi	1444	0.0002%	55648	0.00718%	57092
b-hb-co	244784	0.0316%	55291	0.00714%	300075
pt-polamb	3364	0.0004%	54753	0.00707%	58117
fp-gluk	5764444	0.7439%	54444	0.00703%	5818888
b-na	339965	0.0439%	54293	0.00701%	394258
f-para-o	6404	0.0008%	54134	0.00699%	60538
-h-ind	107726	0.0139%	53982	0.00697%	161708
b-crpp	66205	0.0085%	52663	0.00680%	118868
-hmpvnho	1439	0.0002%	52208	0.00674%	53647
p-asat	1690467	0.2182%	51741	0.00668%	1742208
u-metam-o	9884	0.0013%	51094	0.00659%	60978
f-shigvi	2335	0.0003%	51077	0.00659%	53412
f-yersvi	2767	0.0004%	50988	0.00658%	53755
p-crp-o	90762	0.0117%	50575	0.00653%	141337
b-be	142945	0.0184%	50568	0.00653%	193513
u-albkrea	72816	0.0094%	50135	0.00647%	122951
nitr-o	5935	0.0008%	49786	0.00642%	55721
li-solut	4939	0.0006%	49294	0.00636%	54233
f-campvi	3213	0.0004%	48965	0.00632%	52178
e-coomb-o	6175	0.0008%	48696	0.00628%	54871
ps-str-vi	1417	0.0002%	48591	0.00627%	50008
alb-o	7210	0.0009%	48510	0.00626%	55720
b-laktteh	273473	0.0353%	48237	0.00623%	321710
cp-gluk-hy	55128	0.0071%	47842	0.00617%	102970
pu-sienvi	6241	0.0008%	47351	0.00611%	53592
p-hcg	69092	0.0089%	47097	0.00608%	116189
e-abovarm	1388	0.0002%	46473	0.00600%	47861
ts-pad-2	1523	0.0002%	46104	0.00595%	47627
ab-pco2	989988	0.1278%	46002	0.00594%	1035990
vb-ph	389710	0.0503%	45451	0.00587%	435161
fp-trigly	4291489	0.5538%	45416	0.00586%	4336905
s-ttgabg	18690	0.0024%	45091	0.00582%	63781
sy-kide-o	5540	0.0007%	44963	0.00580%	50503
vb-het-ion	8981	0.0012%	44885	0.00579%	53866
u-gluk	1522	0.0002%	44677	0.00577%	46199
pt-gfre	5011774	0.6468%	44607	0.00576%	5056381
p-t4-v	3106610	0.4009%	44463	0.00574%	3151073
infanho	329	0.0000%	43871	0.00566%	44200
f-baktvip	12449	0.0016%	43770	0.00565%	56219
fp-kol	4460728	0.5757%	43727	0.00564%	4504455
s-tpoab	70363	0.0091%	43689	0.00564%	114052
b-retik	222334	0.0287%	43001	0.00555%	265335
oma-pt-ekg	1702	0.0002%	42423	0.00547%	44125
s-ebvab	5149	0.0007%	41966	0.00542%	47115
leuk-o	13970	0.0018%	41793	0.00539%	55763
s-chpnab	4129	0.0005%	41770	0.00539%	45899
s-cmvab	5246	0.0007%	41559	0.00536%	46805
fp-kol-hdl	4236675	0.5467%	41487	0.00535%	4278162
s-dpteroe	38448	0.0050%	40932	0.00528%	79380
pt-klr-tje	189	0.0000%	40537	0.00523%	40726
ua-be	9940	0.0013%	40333	0.00521%	50273
f-calpro	384953	0.0497%	40016	0.00516%	424969
f-baktnho	1296	0.0002%	39503	0.00510%	40799
ps-infaag	4967	0.0006%	39390	0.00508%	44357
ps-infbag	4967	0.0006%	39383	0.00508%	44350
-bokanho	1576	0.0002%	39198	0.00506%	40774
u-epit	819810	0.1058%	39063	0.00504%	858873
s-anca	3387	0.0004%	38907	0.00502%	42294
u-gluk-hy	2878	0.0004%	38788	0.00501%	41666
p-psa-v	252675	0.0326%	38658	0.00499%	291333
b-crp-vt	61252	0.0079%	38629	0.00499%	99881
p-bil-kj	438823	0.0566%	38254	0.00494%	477077
s-hcg-o	8247	0.0011%	37748	0.00487%	45995
f-paranho	5121	0.0007%	37378	0.00482%	42499
s-dnanab	24990	0.0032%	37185	0.00480%	62175
p-crp-vt	57902	0.0075%	37133	0.00479%	95035
p-ebvnh	9533	0.0012%	36945	0.00477%	46478
b-diffmik	361	0.0000%	36882	0.00476%	37243
s-immfix	7258	0.0009%	36845	0.00475%	44103
bm-mggfe	4642	0.0006%	36813	0.00475%	41455
u-nitr-hy	5528	0.0007%	36775	0.00475%	42303
u-kemseul,ph	11406	0.0015%	36770	0.00475%	48176
u-keto-hy	5154	0.0007%	36683	0.00473%	41837
l-baso	2577250	0.3326%	36650	0.00473%	2613900
s-ebvabm	6930	0.0009%	36627	0.00473%	43557
s-cmvabm	6495	0.0008%	36481	0.00471%	42976
s-hepyab	3568	0.0005%	36380	0.00469%	39948
-pin1nho	1375	0.0002%	36156	0.00467%	37531
-rvirnho	420	0.0001%	36142	0.00466%	36562
u-trama-o	8247	0.0011%	36134	0.00466%	44381
-pin4nho	1386	0.0002%	36133	0.00466%	37519
b-cl	226271	0.0292%	36122	0.00466%	262393
-mypnnho	731	0.0001%	36114	0.00466%	36845
-pin2nho	1449	0.0002%	36083	0.00466%	37532
s-pujoe	33344	0.0043%	35954	0.00464%	69298
p-ca-albk	319292	0.0412%	35933	0.00464%	355225
s-ph	840522	0.1085%	35902	0.00463%	876424
s-siliab	10221	0.0013%	35883	0.00463%	46104
-pin3nho	1739	0.0002%	35781	0.00462%	37520
oma-p-crp	27150	0.0035%	35720	0.00461%	62870
s-cea	240850	0.0311%	35319	0.00456%	276169
s-mitoab	6091	0.0008%	35159	0.00454%	41250
s-kardab	5525	0.0007%	35047	0.00452%	40572
ps-strjvi	218	0.0000%	34961	0.00451%	35179
s-hbvpak	20457	0.0026%	34602	0.00447%	55059
pt-kiire	614	0.0001%	34198	0.00441%	34812
cb-ph	496849	0.0641%	34164	0.00441%	531013
oma-inr	21199	0.0027%	34093	0.00440%	55292
u-trisy-o	7697	0.0010%	33714	0.00435%	41411
ts-fnab	2520	0.0003%	33671	0.00435%	36191
s-mpoab	3404	0.0004%	33092	0.00427%	36496
s-ca-iona	892654	0.1152%	32907	0.00425%	925561
ab-hbo2sat	636869	0.0822%	32637	0.00421%	669506
ikäriski	10108	0.0013%	32619	0.00421%	42727
s-c-anca	1708	0.0002%	32603	0.00421%	34311
p-tnt-o	10573	0.0014%	32506	0.00419%	43079
-vrevi	909	0.0001%	32487	0.00419%	33396
-bopenho	179	0.0000%	32324	0.00417%	32503
s-ssbab	7349	0.0009%	32021	0.00413%	39370
pika-inr	32916	0.0042%	31998	0.00413%	64914
s-timotee	38525	0.0050%	31864	0.00411%	70389
s-emabg	3889	0.0005%	31522	0.00407%	35411
u-syto-1	227	0.0000%	31234	0.00403%	31461
pt-ekg-24h	1186	0.0002%	31165	0.00402%	32351
down-risuh	10518	0.0014%	31163	0.00402%	41681
-evirnho	1400	0.0002%	31012	0.00400%	32412
p-gt	2386504	0.3080%	30989	0.00400%	2417493
ex-baktvi	4278	0.0006%	30969	0.00400%	35247
s-p-anca	3469	0.0004%	30861	0.00398%	34330
s-koivue	44651	0.0058%	30857	0.00398%	75508
ab-he-tase	2010	0.0003%	30794	0.00397%	32804
ps-straohy	4271	0.0006%	30778	0.00397%	35049
ts-pad-tk	6328	0.0008%	30752	0.00397%	37080
s-mpoabg	10102	0.0013%	30544	0.00394%	40646
b-tbifng	20559	0.0027%	30382	0.00392%	50941
pt-papa-tk	2942	0.0004%	29909	0.00386%	32851
u-osmole	349080	0.0450%	29893	0.00386%	378973
pt-fvspio	667	0.0001%	29863	0.00385%	30530
li-baktvi	2408	0.0003%	29733	0.00384%	32141
s-chpnabm	13823	0.0018%	29702	0.00383%	43525
s-allige	39560	0.0051%	29685	0.00383%	69245
l-eos	2584061	0.3335%	29673	0.00383%	2613734
p-probnp	879768	0.1135%	29587	0.00382%	909355
u-kemseul,u-ph	2159	0.0003%	29348	0.00379%	31507
-candvi	5511	0.0007%	29334	0.00379%	34845
s-hepyabg	28685	0.0037%	29257	0.00378%	57942
tri18risuh	9914	0.0013%	29232	0.00377%	39146
u-levyep	589433	0.0761%	29217	0.00377%	618650
u-prot-hy	14246	0.0018%	29135	0.00376%	43381
-tbnho	3085	0.0004%	28882	0.00373%	31967
s-ige-pse	3580	0.0005%	28757	0.00371%	32337
s-havab	4325	0.0006%	28576	0.00369%	32901
s-smab	8420	0.0011%	28408	0.00367%	36828
ab-o2-vol%	542554	0.0700%	28364	0.00366%	570918
pt-enmg-2	528	0.0001%	28307	0.00365%	28835
fs-rf	8192	0.0011%	28282	0.00365%	36474
u-alb-mi	69875	0.0090%	27985	0.00361%	97860
s-mypnabg	55423	0.0072%	27782	0.00359%	83205
ph	302232	0.0390%	27713	0.00358%	329945
crp-pika	86158	0.0111%	27614	0.00356%	113772
p-antifxa	99970	0.0129%	27408	0.00354%	127378
pika-crp	52884	0.0068%	27293	0.00352%	80177
s-tpha	4028	0.0005%	27221	0.00351%	31249
u-fenta-o	6411	0.0008%	26996	0.00348%	33407
sy-diffi	4665	0.0006%	26712	0.00345%	31377
ab-ahco3	481080	0.0621%	26381	0.00340%	507461
s-clahere	3998	0.0005%	26185	0.00338%	30183
s-rnpab	10861	0.0014%	26015	0.00336%	36876
p-hiv1nh	9102	0.0012%	25939	0.00335%	35041
s-ema	3758	0.0005%	25927	0.00335%	29685
-inabnho	1577	0.0002%	25863	0.00334%	27440
cb-pco2	502166	0.0648%	25766	0.00333%	527932
ex-tbvrvi	7794	0.0010%	25560	0.00330%	33354
u-huumlct	14098	0.0018%	25556	0.00330%	39654
s-crp-o	36163	0.0047%	25508	0.00329%	61671
s-hevohie	17947	0.0023%	25497	0.00329%	43444
du-prot-fr	3905	0.0005%	25491	0.00329%	29396
-lepnnho	162	0.0000%	25351	0.00327%	25513
s-havabm	3147	0.0004%	25201	0.00325%	28348
u-leuk-hy	18638	0.0024%	25010	0.00323%	43648
ts-padpros	3394	0.0004%	24939	0.00322%	28333
-rsvag	631	0.0001%	24834	0.00320%	25465
b-crp-o	40494	0.0052%	24609	0.00318%	65103
ua-vekaas	506	0.0001%	24583	0.00317%	25089
s-tshrab	39428	0.0051%	24557	0.00317%	63985
s-tnt	547	0.0001%	24487	0.00316%	25034
u-pienep	394711	0.0509%	24392	0.00315%	419103
ts-pad-ev	909	0.0001%	24360	0.00314%	25269
pt-pef-pa	1320	0.0002%	24182	0.00312%	25502
p-etoh	41092	0.0053%	23812	0.00307%	64904
l-neut	1360897	0.1756%	23545	0.00304%	1384442
sy-solut	14427	0.0019%	23477	0.00303%	37904
s-hbsab	40675	0.0052%	23424	0.00302%	64099
-rinonho	4831	0.0006%	23390	0.00302%	28221
-baktnho	9288	0.0012%	23356	0.00301%	32644
li-un�k�-o	4463	0.0006%	23339	0.00301%	27802
-adenag	237	0.0000%	23239	0.00300%	23476
s-munavae	20323	0.0026%	23235	0.00300%	43558
ps-baktvi	1575	0.0002%	23187	0.00299%	24762
-strjvi	7546	0.0010%	23095	0.00298%	30641
-hhpvnho	9816	0.0013%	22927	0.00296%	32743
p-trombot	3602	0.0005%	22923	0.00296%	26525
-tbvrvi	3740	0.0005%	22667	0.00293%	26407
s-keliseul	494	0.0001%	22625	0.00292%	23119
cb-crp	2044	0.0003%	22563	0.00291%	24607
-koronho	1275	0.0002%	22535	0.00291%	23810
u-krea	1156647	0.1493%	22434	0.00290%	1179081
p-ca	776968	0.1003%	22281	0.00288%	799249
u-eryt-hy	20256	0.0026%	22218	0.00287%	42474
s-ssaab	10021	0.0013%	22120	0.00285%	32141
-chpnnho	502	0.0001%	22038	0.00284%	22540
crp	31046	0.0040%	21996	0.00284%	53042
s-turskae	10528	0.0014%	21989	0.00284%	32517
-cv19pika	112	0.0000%	21973	0.00284%	22085
s-kisshie	23319	0.0030%	21972	0.00284%	45291
vb-vekaas	1149	0.0001%	21918	0.00283%	23067
li-diffi	4744	0.0006%	21866	0.00282%	26610
pt-meeting	5181	0.0007%	21646	0.00279%	26827
-koroc43	156	0.0000%	21633	0.00279%	21789
kvoc43nho	123	0.0000%	21536	0.00278%	21659
s-maitoe	20495	0.0026%	21443	0.00277%	41938
fl-strbnho	23712	0.0031%	21363	0.00276%	45075
-syto	1205	0.0002%	21329	0.00275%	22534
u-oksik-o	8472	0.0011%	21121	0.00273%	29593
s-koirhie	24027	0.0031%	21103	0.00272%	45130
u-tutk-2	488	0.0001%	21054	0.00272%	21542
f-hb-o	2863	0.0004%	20957	0.00270%	23820
-sienvr	994	0.0001%	20909	0.00270%	21903
l-monos	1331897	0.1719%	20903	0.00270%	1352800
-kornl63	130	0.0000%	20866	0.00269%	20996
s-cladhee	26645	0.0034%	20810	0.00269%	47455
crpvieri	30654	0.0040%	20619	0.00266%	51273
p-amyl	1337244	0.1726%	20388	0.00263%	1357632
ab-ca-i7.4	247277	0.0319%	20363	0.00263%	267640
b-diff-mik	107	0.0000%	20354	0.00263%	20461
-sienvi	3506	0.0005%	20264	0.00262%	23770
s-metnor	112	0.0000%	20240	0.00261%	20352
fl-baktvr	8086	0.0010%	20125	0.00260%	28211
s-puumab	2099	0.0003%	20095	0.00259%	22194
s-alat	1241417	0.1602%	19953	0.00257%	1261370
b-fv-d	3699	0.0005%	19936	0.00257%	23635
u-bact	1361	0.0002%	19789	0.00255%	21150
p-pi	414003	0.0534%	19710	0.00254%	433713
-poccv19	51701	0.0067%	19698	0.00254%	71399
s-ige-sse	14082	0.0018%	19608	0.00253%	33690
ca-ion	218073	0.0281%	19485	0.00251%	237558
u-nitri-o	2430	0.0003%	19445	0.00251%	21875
s-psa	389208	0.0502%	19390	0.00250%	408598
s-tygl	20280	0.0026%	19369	0.00250%	39649
p-mg	632964	0.0817%	19319	0.00249%	652283
s-toxoab	1947	0.0003%	19215	0.00248%	21162
gt-cdt-ind	26324	0.0034%	19209	0.00248%	45533
ps-straolb	2790	0.0004%	19131	0.00247%	21921
u-huumtof	422	0.0001%	19075	0.00246%	19497
s-bopeab	1791	0.0002%	18981	0.00245%	20772
s-igg-sc	965	0.0001%	18917	0.00244%	19882
s-vzvabm	3475	0.0004%	18867	0.00243%	22342
ab-po2	1016136	0.1311%	18853	0.00243%	1034989
s-afos-is	1729	0.0002%	18838	0.00243%	20567
s-scl70ab	5602	0.0007%	18823	0.00243%	24425
fl-hiivavi	3617	0.0005%	18606	0.00240%	22223
campnho	739	0.0001%	18601	0.00240%	19340
li-unäkö-n	4933	0.0006%	18598	0.00240%	23531
b-eos_	227602	0.0294%	18501	0.00239%	246103
b-eos_	4902	0.0006%	18501	0.00239%	23403
etecnho	562	0.0001%	18380	0.00237%	18942
p-ca-iona	1032572	0.1333%	18364	0.00237%	1050936
yersnho	605	0.0001%	18339	0.00237%	18944
s-cmvabg	26942	0.0035%	18269	0.00236%	45211
s-dgpaba	28010	0.0036%	18268	0.00236%	46278
ehecnho	591	0.0001%	18228	0.00235%	18819
b-vrabtu1	4621	0.0006%	18174	0.00235%	22795
b-fii-d	3425	0.0004%	18163	0.00234%	21588
ps-strnho	5981	0.0008%	18160	0.00234%	24141
sh/eiecnho	564	0.0001%	18104	0.00234%	18668
s-mta	3153	0.0004%	18096	0.00234%	21249
ts-pad-5tu	6720	0.0009%	18085	0.00233%	24805
s-tyglab	7562	0.0010%	18040	0.00233%	25602
b-lydiff	104	0.0000%	17982	0.00232%	18086
